longitude,lattitude,acq_date,acq_time
-79.31233961,41.62766376,8/5/2022,2
-79.82019379,43.36584118,10/1/2022,10
-88.55030524,37.53811133,28/6/2022,7
-117.1378457,46.29139315,16/4/2022,18
-111.0101253,32.4134689,28/8/2022,22
-98.69324154,30.10837053,30/7/2022,11
-97.92117803,48.67781178,23/4/2022,11
-76.42059146,48.51593724,18/9/2022,11
-89.72185958,46.69991918,3/5/2022,2
-68.6056256,29.78397652,10/3/2022,5
-122.4457394,26.14395655,9/1/2022,3
-83.2401937,49.3188226,11/8/2022,13
-98.78431213,49.94229808,20/11/2022,11
-101.9661992,28.1867842,22/6/2022,4
-86.25253776,46.37344531,13/10/2022,5
-67.12541035,29.53127262,23/1/2022,23
-111.7689221,49.44161577,29/7/2022,23
-91.07710596,33.0519222,2/12/2022,5
-72.28854558,45.67147532,3/1/2022,12
-112.7165292,27.21789035,19/10/2022,12
-78.74550779,27.29706616,17/6/2022,11
-110.9378381,30.35798836,25/2/2022,15
-76.43354888,35.53873974,26/1/2022,11
-73.67372445,39.20605481,1/2/2022,18
-110.1285122,25.02488637,9/12/2022,23
-96.38171415,43.26623574,2/2/2022,10
-100.6658439,32.5984652,18/11/2022,6
-125.3915853,49.06365745,28/7/2022,6
-125.1266736,47.50641087,17/4/2022,10
-102.4442747,35.45458363,18/3/2022,17
-68.1638199,37.51106739,21/3/2022,6
-73.17782264,47.61865898,20/6/2022,23
-101.0750916,43.22970702,3/5/2022,12
-102.9089369,35.50806682,6/7/2022,4
-117.7802312,44.23722575,2/4/2022,14
-85.33429155,31.16716344,27/7/2022,8
-76.56565186,43.37600796,21/9/2022,19
-104.1524948,40.16521912,25/9/2022,10
-96.07542149,27.1938669,18/5/2022,23
-88.84068372,31.76804631,17/10/2022,1
-90.01500496,39.16559647,30/5/2022,18
-88.65909728,27.14400908,22/8/2022,12
-84.66865193,44.37239542,1/7/2022,21
-95.78881577,46.04234597,2/2/2022,20
-111.7774262,39.10585177,17/5/2022,17
-85.15332658,38.53423868,2/10/2022,15
-68.78964085,39.02732513,29/4/2022,21
-117.3757366,39.69479153,23/1/2022,22
-101.6964363,25.77256957,28/12/2022,21
-77.00340581,41.0757158,4/12/2022,17
-77.90245818,45.60745406,4/12/2022,12
-87.86622461,42.66123076,3/12/2022,2
-78.72095728,34.61552947,27/8/2022,23
-122.7258523,31.60052473,17/6/2022,2
-107.906353,38.81051439,2/4/2022,16
-120.7937046,32.7689374,18/1/2022,7
-99.32065516,44.83535179,9/10/2022,20
-73.72260067,28.02828741,13/9/2022,10
-78.36073504,46.83826663,14/9/2022,16
-77.41454045,37.18798153,31/10/2022,21
-106.1655246,39.20103215,23/5/2022,22
-101.7987459,43.1198655,31/1/2022,15
-124.9803205,32.01267816,23/6/2022,12
-97.94642887,26.62249742,15/5/2022,22
-83.79451585,44.21103095,26/2/2022,19
-94.21533138,32.63624323,11/2/2022,18
-122.2443732,46.65579503,19/1/2022,19
-110.7559025,40.41639758,15/10/2022,6
-77.84041337,44.09745145,8/7/2022,20
-74.77702492,29.35136014,2/6/2022,10
-125.6440304,35.86223211,25/1/2022,9
-99.85485181,40.79991717,26/5/2022,11
-77.30041637,35.05668158,20/4/2022,20
-76.27705295,45.83728405,16/11/2022,21
-71.75419372,49.0855328,27/11/2022,10
-114.6611804,32.09724983,9/7/2022,14
-97.85639151,29.95787369,12/4/2022,2
-117.3107253,30.09368872,8/7/2022,16
-114.9027366,31.21036784,27/11/2022,15
-112.9384136,30.22122114,28/2/2022,5
-89.13729929,41.48733253,26/8/2022,17
-66.58971589,38.85252692,3/10/2022,7
-98.05138586,46.63830421,27/4/2022,16
-107.8948798,44.18585132,12/10/2022,20
-78.70929339,29.11338535,26/11/2022,16
-79.37808638,29.13157793,11/10/2022,8
-89.31436714,41.06068789,25/8/2022,6
-121.9055924,29.67250724,3/5/2022,18
-76.44783695,25.59203767,25/4/2022,15
-125.0162369,48.76947018,31/3/2022,7
-76.52266379,49.47259507,25/2/2022,20
-90.66050581,48.62156793,7/1/2022,10
-70.440098,46.05411009,26/1/2022,7
-123.7355676,38.92605641,20/2/2022,3
-70.99035642,35.15628931,18/7/2022,3
-116.4840869,41.27454003,31/1/2022,10
-67.30687604,46.29440045,17/8/2022,15
-80.48293592,46.61306335,12/12/2022,3
-92.49102623,33.73417009,12/3/2022,19
-92.27288044,49.39033416,14/3/2022,11
-99.62018058,30.16730397,15/12/2022,18
-122.6441858,36.65103055,11/6/2022,18
-93.33793884,39.31618797,23/1/2022,23
-84.2013664,29.18004644,27/2/2022,16
-93.05282428,45.82413025,23/7/2022,6
-65.83364618,29.66326501,1/7/2022,22
-66.54346623,42.62190421,16/10/2022,3
-86.44476338,31.838024,27/3/2022,20
-92.98102455,37.00841112,14/3/2022,20
-65.04642935,48.18250913,16/5/2022,2
-114.3842258,32.57101837,7/11/2022,15
-80.63553717,25.63874435,4/2/2022,3
-86.33218973,25.53531323,2/1/2022,11
-114.0746227,25.50639434,4/8/2022,23
-125.4502484,46.31505272,2/4/2022,10
-122.6050016,30.1886283,14/5/2022,12
-114.6614827,38.9494269,3/4/2022,22
-113.0403927,39.08878896,3/11/2022,11
-87.55278711,26.84564974,23/6/2022,14
-86.35118816,40.03773867,25/11/2022,5
-84.74227606,35.23525927,11/10/2022,4
-111.8881749,32.86564176,1/11/2022,7
-67.08219022,37.15961612,20/6/2022,9
-75.22915618,48.95978366,9/9/2022,10
-96.00472203,45.07036883,18/4/2022,20
-124.9976871,36.55930546,1/3/2022,21
-123.1489796,26.20364864,28/9/2022,23
-80.42968519,48.80247061,18/9/2022,5
-105.8993438,46.07673753,23/5/2022,14
-125.2132918,31.87825892,6/12/2022,10
-72.78607938,43.16386155,14/11/2022,3
-68.65090537,30.90177678,5/11/2022,4
-81.20225839,30.12758281,16/11/2022,6
-74.91038917,27.74042227,11/2/2022,5
-67.68811732,29.04402941,6/9/2022,14
-108.2106315,45.60377021,22/7/2022,1
-77.90008968,30.62593952,26/2/2022,12
-106.4989217,41.32914584,22/3/2022,4
-102.40145,33.74201162,30/7/2022,15
-104.7430844,37.90816249,4/10/2022,14
-108.3899279,44.65356663,5/8/2022,2
-97.02184877,37.61606512,30/5/2022,19
-87.40225316,42.54273126,25/8/2022,5
-91.41465429,31.65696466,19/3/2022,12
-125.092816,40.22465369,30/10/2022,1
-75.40212432,32.69384418,15/9/2022,23
-111.4522965,42.79544211,6/1/2022,13
-123.3370266,25.2484905,25/9/2022,2
-68.71175258,27.09516818,7/7/2022,13
-106.1767055,25.13067729,25/3/2022,19
-89.71578082,39.24029467,16/7/2022,7
-87.7765984,47.30539907,4/10/2022,8
-113.4105674,26.00960851,14/11/2022,18
-118.8170502,44.18548389,19/4/2022,21
-109.547151,32.97714834,26/1/2022,4
-70.16371323,30.57179622,7/6/2022,6
-68.91958514,41.98862406,1/3/2022,23
-125.1234659,46.64746718,24/2/2022,3
-69.81603251,25.1086571,4/5/2022,17
-105.0257537,49.68114256,17/3/2022,19
-72.42294539,39.33964699,11/5/2022,22
-103.9613849,31.33982508,23/7/2022,7
-125.6097014,30.71281553,23/2/2022,21
-91.44050281,36.99414671,10/8/2022,22
-65.55886966,38.25944357,17/4/2022,12
-96.3412683,40.46123779,24/8/2022,3
-66.35632418,32.69269114,31/7/2022,21
-102.0631975,42.75474792,23/10/2022,7
-71.57038737,29.64751712,13/6/2022,2
-120.353633,32.75216385,23/10/2022,7
-90.37787567,28.69999326,14/8/2022,12
-98.84245112,33.44718218,11/9/2022,1
-124.2515733,41.16846354,17/9/2022,16
-89.90633253,46.65086649,28/7/2022,3
-98.8271096,37.2506982,20/2/2022,4
-92.31798415,32.80671678,30/9/2022,16
-83.38623016,45.66962487,1/6/2022,17
-111.1206402,38.60520645,23/4/2022,17
-76.95998596,40.15027889,23/8/2022,13
-76.72586622,48.49016027,11/4/2022,6
-87.90616734,47.35004808,19/11/2022,6
-114.7392714,48.59844801,28/6/2022,7
-74.38359059,45.12894727,15/10/2022,21
-99.24937478,46.62753947,1/12/2022,11
-101.999293,35.08993304,4/9/2022,4
-97.38657204,32.32117586,4/8/2022,10
-67.83115056,47.17263328,9/7/2022,1
-75.49738838,34.18536643,25/8/2022,9
-118.3948161,40.2848478,5/8/2022,18
-85.5640492,28.62831063,2/2/2022,19
-123.5800948,29.2372586,5/2/2022,1
-124.8260744,48.46226902,5/8/2022,16
-77.09286837,49.0779949,31/3/2022,8
-97.46146231,26.35780444,22/6/2022,23
-75.50967652,27.60204758,12/12/2022,19
-111.0712403,25.92285844,21/3/2022,16
-83.63978179,36.57564573,18/3/2022,1
-114.3101856,25.57058321,4/5/2022,3
-107.2306601,43.55435222,14/12/2022,1
-97.43793297,32.15774116,5/7/2022,8
-123.3078564,32.75539005,1/5/2022,4
-109.6906388,48.78007667,24/4/2022,15
-70.34301599,27.46713112,11/2/2022,21
-79.31375038,44.83090276,17/11/2022,7
-82.73891628,30.49960521,16/3/2022,23
-72.03364274,44.02681922,20/2/2022,9
-74.68278269,34.84725576,26/11/2022,1
-71.31901631,31.56888649,21/8/2022,21
-91.67085347,39.94365357,20/12/2022,9
-113.3841236,25.18453077,22/2/2022,1
-82.58461047,35.78197302,20/12/2022,21
-105.8981991,43.4722571,21/3/2022,4
-79.31233961,41.62766376,8/5/2022,2
-79.82019379,43.36584118,10/1/2022,10
-88.55030524,37.53811133,28/6/2022,7
-117.1378457,46.29139315,16/4/2022,18
-111.0101253,32.4134689,28/8/2022,22
-98.69324154,30.10837053,30/7/2022,11
-97.92117803,48.67781178,23/4/2022,11
-76.42059146,48.51593724,18/9/2022,11
-89.72185958,46.69991918,3/5/2022,2
-68.6056256,29.78397652,10/3/2022,5
-122.4457394,26.14395655,9/1/2022,3
-83.2401937,49.3188226,11/8/2022,13
-98.78431213,49.94229808,20/11/2022,11
-101.9661992,28.1867842,22/6/2022,4
-86.25253776,46.37344531,13/10/2022,5
-67.12541035,29.53127262,23/1/2022,23
-111.7689221,49.44161577,29/7/2022,23
-91.07710596,33.0519222,2/12/2022,5
-72.28854558,45.67147532,3/1/2022,12
-112.7165292,27.21789035,19/10/2022,12
-78.74550779,27.29706616,17/6/2022,11
-110.9378381,30.35798836,25/2/2022,15
-115.6977422,38.08511282,16/3/2022,15
-106.7310977,38.16812467,8/10/2022,7
-77.16638062,47.68770427,6/9/2022,22
-68.83493014,48.06274138,19/6/2022,17
-115.1831556,27.34963012,5/2/2022,5
-81.93698669,30.56989967,23/11/2022,16
-98.73138772,46.59307728,18/12/2022,13
-83.74643941,45.32401959,9/7/2022,7
-97.1872695,26.40707528,18/6/2022,22
-107.7145312,44.86872035,16/2/2022,19
-96.8192444,30.58802939,11/5/2022,23
-119.7530275,40.76989197,30/10/2022,22
-82.50858557,49.70404149,7/1/2022,5
-73.98943022,38.54287249,11/3/2022,23
-87.68464228,26.25636176,21/12/2022,23
-100.143941,43.42789331,1/9/2022,22
-111.119468,30.45086031,20/5/2022,17
-80.60587752,45.7804316,16/8/2022,23
-84.51942501,41.60198669,12/3/2022,11
-111.3963613,43.7015272,18/2/2022,11
-104.7879003,44.40851974,23/5/2022,4
-103.1176656,35.80623806,16/12/2022,21
-98.84381883,30.93237281,26/6/2022,16
-98.58151015,31.22789255,17/3/2022,1
-119.951984,45.62829345,12/6/2022,14
-121.9630195,46.60174356,7/11/2022,8
-117.8192254,28.2463161,14/11/2022,12
-91.46346178,45.02339328,4/5/2022,2
-79.99745971,27.3990259,15/2/2022,3
-96.33018447,33.20810377,15/10/2022,20
-125.2639517,27.57010119,12/2/2022,17
-114.1290145,49.65890648,11/10/2022,16
-77.79072109,36.25494188,22/3/2022,2
-74.77370131,42.83239,18/8/2022,16
-102.4753602,33.46774217,24/10/2022,12
-95.24243273,27.60260465,6/6/2022,5
-114.3848051,31.33567232,20/2/2022,3
-95.67690932,27.5329351,18/2/2022,23
-84.18707857,34.69138615,25/12/2022,11
-80.6311096,42.30468093,2/6/2022,10
-102.015826,26.02854917,11/6/2022,22
-86.1512017,40.29273972,26/6/2022,23
-69.60166023,32.77395319,26/4/2022,19
-77.85051078,26.30072363,9/11/2022,17
-115.1836521,36.7978138,6/12/2022,17
-84.13084327,29.96128105,25/11/2022,16
-75.85401823,40.73135403,17/5/2022,11
-113.6069,38.00056633,2/4/2022,12
-111.8231908,43.50781637,16/11/2022,2
-75.19509819,25.02054689,30/7/2022,4
-84.38572068,41.06334824,22/8/2022,6
-85.15854906,45.27802548,17/10/2022,16
-89.14119579,38.73872341,25/10/2022,2
-69.87337899,28.42189663,8/9/2022,18
-121.6357146,35.12228203,2/8/2022,7
-124.7759196,36.58933387,12/8/2022,19
-94.09226605,36.61898571,22/4/2022,2
-107.1435553,46.67097465,20/4/2022,15
-125.5033804,29.09242079,4/10/2022,17
-88.22851597,37.10751524,22/11/2022,23
-119.595016,37.51787825,1/11/2022,12
-99.36809703,28.03834891,3/7/2022,20
-79.35344068,32.96910173,27/10/2022,8
-115.3419172,44.90682833,8/12/2022,4
-120.1915506,35.04389202,9/8/2022,9
-120.6644445,26.52827404,3/4/2022,19
-83.61566893,43.97313958,5/10/2022,22
-107.2064897,30.09671728,7/4/2022,2
-78.13328404,28.10405295,30/6/2022,4
-117.7568834,34.96475243,22/9/2022,14
-103.525403,29.30279852,25/7/2022,22
-112.562275,40.72412334,18/7/2022,7
-97.13657619,25.08438958,31/8/2022,10
-120.0618918,29.06774923,27/2/2022,19
-109.4185884,42.92775547,24/5/2022,5
-80.19016032,25.88972008,25/11/2022,22
-122.4109896,36.34213606,30/12/2022,11
-82.72126852,47.220616,26/3/2022,21
-118.2998796,40.03245429,28/11/2022,22
-73.7566262,33.12003948,31/3/2022,15
-91.82995648,39.80445283,9/1/2022,23
-77.74490678,28.55132524,29/3/2022,23
-99.25314986,33.75582752,30/10/2022,17
-71.41698039,33.93355619,30/8/2022,16
-112.6421666,29.09222089,17/6/2022,1
-72.46463646,29.86746307,2/12/2022,11
-92.68831115,25.23376365,13/8/2022,14
-101.140141,43.77669617,20/11/2022,17
-119.0898357,48.58665377,17/3/2022,20
-80.5963226,30.39309464,2/10/2022,5
-98.93008019,26.71798432,3/12/2022,16
-117.7416257,43.96401596,16/11/2022,8
-71.77752955,28.22980968,14/2/2022,21
-105.0824212,47.79354884,11/5/2022,18
-99.1418775,25.7234953,24/11/2022,4
-67.71765003,32.21880859,11/11/2022,2
-85.59133763,43.19422287,28/7/2022,17
-111.3772641,42.14760792,12/6/2022,6
-88.73505269,35.87833529,25/4/2022,8
-76.8885534,28.02218771,14/8/2022,8
-107.9090543,46.34955301,14/1/2022,16
-113.7633576,35.93705188,29/12/2022,4
-94.94310139,42.17950054,29/10/2022,2
-87.90951659,38.5328506,27/5/2022,20
-91.68294187,46.34729246,9/8/2022,8
-73.67372445,39.20605481,1/2/2022,18
-110.1285122,25.02488637,9/12/2022,23
-96.38171415,43.26623574,2/2/2022,10
-100.6658439,32.5984652,18/11/2022,6
-125.3915853,49.06365745,28/7/2022,6
-125.1266736,47.50641087,17/4/2022,10
-102.4442747,35.45458363,18/3/2022,17
-68.1638199,37.51106739,21/3/2022,6
-73.17782264,47.61865898,20/6/2022,23
-101.0750916,43.22970702,3/5/2022,12
-102.9089369,35.50806682,6/7/2022,4
-117.7802312,44.23722575,2/4/2022,14
-85.33429155,31.16716344,27/7/2022,8
-76.56565186,43.37600796,21/9/2022,19
-104.1524948,40.16521912,25/9/2022,10
-96.07542149,27.1938669,18/5/2022,23
-88.84068372,31.76804631,17/10/2022,1
-90.01500496,39.16559647,30/5/2022,18
-88.65909728,27.14400908,22/8/2022,12
-84.66865193,44.37239542,1/7/2022,21
-95.78881577,46.04234597,2/2/2022,20
-111.7774262,39.10585177,17/5/2022,17
-85.15332658,38.53423868,2/10/2022,15
-68.78964085,39.02732513,29/4/2022,21
-117.3757366,39.69479153,23/1/2022,22
-101.6964363,25.77256957,28/12/2022,21
-77.00340581,41.0757158,4/12/2022,17
-77.90245818,45.60745406,4/12/2022,12
-87.86622461,42.66123076,3/12/2022,2
-78.72095728,34.61552947,27/8/2022,23
-122.7258523,31.60052473,17/6/2022,2
-107.906353,38.81051439,2/4/2022,16
-120.7937046,32.7689374,18/1/2022,7
-99.32065516,44.83535179,9/10/2022,20
-73.72260067,28.02828741,13/9/2022,10
-78.36073504,46.83826663,14/9/2022,16
-77.41454045,37.18798153,31/10/2022,21
-106.1655246,39.20103215,23/5/2022,22
-101.7987459,43.1198655,31/1/2022,15
-124.9803205,32.01267816,23/6/2022,12
-97.94642887,26.62249742,15/5/2022,22
-83.79451585,44.21103095,26/2/2022,19
-94.21533138,32.63624323,11/2/2022,18
-122.2443732,46.65579503,19/1/2022,19
-110.7559025,40.41639758,15/10/2022,6
-77.84041337,44.09745145,8/7/2022,20
-74.77702492,29.35136014,2/6/2022,10
-125.6440304,35.86223211,25/1/2022,9
-99.85485181,40.79991717,26/5/2022,11
-77.30041637,35.05668158,20/4/2022,20
-76.27705295,45.83728405,16/11/2022,21
-71.75419372,49.0855328,27/11/2022,10
-114.6611804,32.09724983,9/7/2022,14
-97.85639151,29.95787369,12/4/2022,2
-117.3107253,30.09368872,8/7/2022,16
-114.9027366,31.21036784,27/11/2022,15
-112.9384136,30.22122114,28/2/2022,5
-89.13729929,41.48733253,26/8/2022,17
-66.58971589,38.85252692,3/10/2022,7
-98.05138586,46.63830421,27/4/2022,16
-107.8948798,44.18585132,12/10/2022,20
-78.70929339,29.11338535,26/11/2022,16
-79.37808638,29.13157793,11/10/2022,8
-89.31436714,41.06068789,25/8/2022,6
-121.9055924,29.67250724,3/5/2022,18
-76.44783695,25.59203767,25/4/2022,15
-125.0162369,48.76947018,31/3/2022,7
-76.52266379,49.47259507,25/2/2022,20
-90.66050581,48.62156793,7/1/2022,10
-70.440098,46.05411009,26/1/2022,7
-123.7355676,38.92605641,20/2/2022,3
-70.99035642,35.15628931,18/7/2022,3
-116.4840869,41.27454003,31/1/2022,10
-67.30687604,46.29440045,17/8/2022,15
-80.48293592,46.61306335,12/12/2022,3
-92.49102623,33.73417009,12/3/2022,19
-92.27288044,49.39033416,14/3/2022,11
-99.62018058,30.16730397,15/12/2022,18
-122.6441858,36.65103055,11/6/2022,18
-93.33793884,39.31618797,23/1/2022,23
-84.2013664,29.18004644,27/2/2022,16
-93.05282428,45.82413025,23/7/2022,6
-65.83364618,29.66326501,1/7/2022,22
-66.54346623,42.62190421,16/10/2022,3
-86.44476338,31.838024,27/3/2022,20
-92.98102455,37.00841112,14/3/2022,20
-65.04642935,48.18250913,16/5/2022,2
-114.3842258,32.57101837,7/11/2022,15
-80.63553717,25.63874435,4/2/2022,3
-86.33218973,25.53531323,2/1/2022,11
-114.0746227,25.50639434,4/8/2022,23
-125.4502484,46.31505272,2/4/2022,10
-122.6050016,30.1886283,14/5/2022,12
-114.6614827,38.9494269,3/4/2022,22
-113.0403927,39.08878896,3/11/2022,11
-87.55278711,26.84564974,23/6/2022,14
-86.35118816,40.03773867,25/11/2022,5
-84.74227606,35.23525927,11/10/2022,4
-111.8881749,32.86564176,1/11/2022,7
-67.08219022,37.15961612,20/6/2022,9
-75.22915618,48.95978366,9/9/2022,10
-96.00472203,45.07036883,18/4/2022,20
-124.9976871,36.55930546,1/3/2022,21
-123.1489796,26.20364864,28/9/2022,23
-80.42968519,48.80247061,18/9/2022,5
-96.45578641,31.92650147,3/12/2022,4
-67.25872654,41.28582714,10/10/2022,11
-67.15834761,48.12579519,20/12/2022,6
-102.4699934,49.55664231,8/11/2022,18
-84.98626661,40.17499021,16/4/2022,17
-122.7772969,26.91762052,14/12/2022,1
-91.53457863,49.39433392,7/10/2022,8
-102.1212674,25.01587209,12/10/2022,10
-95.03312145,45.48520642,9/6/2022,17
-72.26198142,43.49758681,15/7/2022,13
-80.34341365,40.7616607,28/6/2022,8
-70.08222615,41.2520358,6/8/2022,5
-86.83852247,49.14025308,26/6/2022,16
-104.6508911,41.25103076,21/9/2022,23
-122.8345188,29.06610576,26/4/2022,9
-108.7843783,30.68882935,21/6/2022,10
-122.7276838,35.23831918,7/2/2022,2
-73.34364885,32.37812329,28/9/2022,18
-106.0829482,34.84268103,9/4/2022,5
-96.9517477,41.74269825,6/5/2022,18
-105.29115,25.48420771,6/7/2022,23
-124.6516602,49.52227314,29/1/2022,7
-103.6622734,44.31246012,17/6/2022,23
-84.25365305,35.66390994,10/9/2022,8
-92.47629606,37.37543787,17/10/2022,17
-114.3247548,39.91268221,27/2/2022,13
-65.43017906,40.08313578,4/5/2022,20
-109.8252531,39.70650743,1/3/2022,23
-120.153207,32.21719782,16/12/2022,4
-89.82767683,34.65368772,28/7/2022,1
-86.89877076,46.5043888,13/9/2022,16
-100.6550063,31.41000218,13/9/2022,6
-65.99953505,47.86197259,16/6/2022,1
-96.15159312,33.68623286,5/5/2022,9
-81.94838646,32.43678378,6/11/2022,14
-105.8945073,47.89129333,12/5/2022,10
-105.5202563,39.25306559,4/3/2022,22
-111.5320499,43.49581793,31/8/2022,20
-101.3933467,28.46163714,8/6/2022,11
-119.4476507,46.16317964,13/12/2022,22
-125.7652521,34.79088904,25/5/2022,6
-87.19594045,45.74468861,7/5/2022,15
-118.5688719,42.17011025,21/6/2022,6
-90.40676793,44.28113938,29/9/2022,17
-89.16665754,39.00376496,12/6/2022,18
-125.0375635,41.41975364,11/8/2022,7
-76.17029131,31.41520991,9/1/2022,3
-65.5057324,35.57179177,4/8/2022,10
-111.4538624,31.97690816,10/6/2022,14
-74.8534952,37.79648641,3/11/2022,21
-72.1266483,29.8577465,28/9/2022,3
-100.0160036,33.07952902,21/7/2022,23
-122.737221,46.60789652,31/7/2022,17
-119.874366,43.58766008,17/12/2022,18
-72.60699928,29.67262759,3/10/2022,9
-120.264032,29.10026112,24/11/2022,1
-73.19101318,36.63397893,8/10/2022,19
-102.006294,34.58233718,27/9/2022,10
-104.015671,36.47867465,9/6/2022,16
-111.3349708,42.01691193,12/9/2022,13
-125.1791285,46.6271788,22/5/2022,19
-95.95439437,41.86639594,29/6/2022,2
-81.37392298,39.93758091,21/10/2022,10
-75.96939294,38.78122809,8/5/2022,12
-66.33015697,39.19382142,9/3/2022,16
-125.2828151,36.832571,10/4/2022,6
-83.37731879,40.80436323,6/12/2022,7
-114.4431054,42.7538087,1/8/2022,23
-86.06480506,43.14350865,15/6/2022,6
-86.03783749,31.23264338,2/2/2022,1
-102.6197854,42.31658585,27/1/2022,6
-108.6040141,34.53626856,20/8/2022,8
-120.0698095,38.41333275,22/2/2022,15
-125.1558422,34.85688332,15/9/2022,3
-94.60261659,38.84422334,18/12/2022,12
-70.25280176,37.74103877,24/1/2022,8
-74.84219018,35.81669292,14/6/2022,23
-84.4548018,33.28343777,9/5/2022,10
-96.07753294,44.42560888,5/5/2022,15
-72.36706874,44.06348316,3/9/2022,23
-68.1420672,46.16605762,22/12/2022,2
-98.77246403,49.72912022,12/2/2022,23
-69.07817966,39.5533061,1/6/2022,11
-81.6767348,30.94951922,9/6/2022,18
-118.5886965,27.77270751,23/1/2022,1
-101.9567301,25.92448403,24/5/2022,5
-118.6250964,43.67459947,12/1/2022,1
-113.3871053,31.24310428,3/3/2022,19
-113.847031,43.6870517,18/11/2022,5
-74.05538619,42.6399641,29/12/2022,23
-88.20507251,38.75409761,14/6/2022,19
-91.43992252,26.32931143,30/7/2022,11
-102.5464683,27.52257776,18/11/2022,15
-65.75344517,43.25161514,18/2/2022,23
-120.7463354,36.0544392,29/11/2022,10
-113.1898018,39.35216383,16/8/2022,5
-109.5892104,39.22706032,20/3/2022,9
-112.1573808,44.12303676,26/10/2022,9
-69.20998812,25.72108335,10/4/2022,17
-113.5546043,36.98203006,24/6/2022,6
-90.20293635,39.8633769,6/4/2022,6
-89.23691876,39.59021336,14/1/2022,14
-109.4180189,39.50377966,28/9/2022,12
-88.59556286,40.31935721,28/7/2022,17
-66.94680114,37.99099191,19/8/2022,6
-119.1341626,44.32400567,12/9/2022,13
-124.0172568,39.2731382,30/11/2022,9
-74.43016448,26.51583791,7/11/2022,12
